era,n,car_-5_-1_mean_bps,car_-5_-1_se_bps,car_-5_0_mean_bps,car_-5_0_se_bps,car_0_1_mean_bps,car_0_1_se_bps,car_0_5_mean_bps,car_0_5_se_bps,car_0_10_mean_bps,car_0_10_se_bps,car_0_20_mean_bps,car_0_20_se_bps
2000-2004,4,119.63904007799475,267.04479494400516,27.742905169680746,80.99077093256564,-91.29627335093525,210.0493115198446,-275.881946125922,266.3099072172933,-236.62116633165326,545.5297115469521,-879.4348496536655,588.5012171362016
2005-2009,18,380.3470073550439,108.712318236965,391.5153320783196,123.19916543309677,102.16959878011343,137.05901789678504,44.759323164757554,177.13417495729695,-354.8751705709883,208.89909609776535,-840.8046837562221,443.0268787478701
2010-2014,45,-43.771431112372206,73.26247503626584,-88.70946439388358,77.25659569034569,-56.771232588545544,42.9435903509595,-135.84061126425442,75.72396113450586,-205.98320979627997,96.87642925728744,-357.1712669249055,115.89688411608732
2015-2019,93,-48.63860474962037,49.49932893529156,-18.468633329900975,50.76174508678502,7.639671314534073,23.52214633660117,-35.702358526591304,35.170741604600956,-86.31315368645805,48.2689046038237,-174.54465371924778,72.82049532178547
2020-2022,44,85.56489182153096,113.05419449066187,43.59492169282816,125.60480673374855,-77.19629722015888,51.99004248507436,-219.98587870932576,103.87820176323665,-396.80834137343436,141.1805938380474,-618.3866697919372,175.50513109031436
