date,daily_pnl,cum
2023-06-07 00:00:00+00:00,0.00014005000000000002,0.00014005000000000002
2023-06-08 00:00:00+00:00,0.00012605,0.0002661
2023-06-09 00:00:00+00:00,0.00018908,0.00045518
2023-06-10 00:00:00+00:00,0.00014973,0.00060491
2023-06-11 00:00:00+00:00,0.00013571999999999998,0.0007406299999999999
2023-06-12 00:00:00+00:00,0.00015349,0.00089412
2023-06-13 00:00:00+00:00,0.00022683000000000002,0.00112095
2023-06-14 00:00:00+00:00,8.815e-05,0.0012090999999999998
2023-06-15 00:00:00+00:00,9.615e-05,0.0013052499999999998
2023-06-16 00:00:00+00:00,4.988e-05,0.0013551299999999997
2023-06-17 00:00:00+00:00,0.00027411,0.0016292399999999997
2023-06-18 00:00:00+00:00,0.00018644,0.0018156799999999996
2023-06-19 00:00:00+00:00,0.00017127,0.0019869499999999995
2023-06-20 00:00:00+00:00,1.3049999999999999e-05,0.0019999999999999996
2023-06-21 00:00:00+00:00,0.00018846,0.0021884599999999997
2023-06-22 00:00:00+00:00,0.00029236,0.00248082
2023-06-23 00:00:00+00:00,0.00030000000000000003,0.00278082
2023-06-24 00:00:00+00:00,0.00030000000000000003,0.0030808199999999997
2023-06-25 00:00:00+00:00,0.00030000000000000003,0.0033808199999999997
2023-06-26 00:00:00+00:00,0.00030000000000000003,0.0036808199999999996
2023-06-27 00:00:00+00:00,0.00030000000000000003,0.0039808199999999995
2023-06-28 00:00:00+00:00,0.000239,0.004219819999999999
2023-06-29 00:00:00+00:00,0.00025874000000000003,0.0044785599999999995
2023-06-30 00:00:00+00:00,0.00030000000000000003,0.004778559999999999
2023-07-01 00:00:00+00:00,0.00030000000000000003,0.005078559999999999
2023-07-02 00:00:00+00:00,0.00030000000000000003,0.005378559999999999
2023-07-03 00:00:00+00:00,0.00030000000000000003,0.005678559999999999
2023-07-04 00:00:00+00:00,0.00030000000000000003,0.005978559999999999
2023-07-05 00:00:00+00:00,0.00030000000000000003,0.006278559999999999
2023-07-06 00:00:00+00:00,0.00019212,0.006470679999999999
2023-07-07 00:00:00+00:00,4.2609999999999994e-05,0.006513289999999999
2023-07-08 00:00:00+00:00,8.074e-05,0.006594029999999999
2023-07-09 00:00:00+00:00,0.00018680999999999998,0.006780839999999999
2023-07-10 00:00:00+00:00,5.663e-05,0.006837469999999999
2023-07-11 00:00:00+00:00,0.00020229,0.007039759999999999
2023-07-12 00:00:00+00:00,0.0001817,0.007221459999999999
2023-07-13 00:00:00+00:00,5.514e-05,0.007276599999999999
2023-07-14 00:00:00+00:00,0.00030000000000000003,0.007576599999999999
2023-07-15 00:00:00+00:00,-1.3220000000000002e-05,0.007563379999999999
2023-07-16 00:00:00+00:00,0.00014348,0.0077068599999999985
2023-07-17 00:00:00+00:00,0.00015324000000000002,0.007860099999999998
2023-07-18 00:00:00+00:00,0.00018258,0.008042679999999998
2023-07-19 00:00:00+00:00,0.00022914000000000002,0.008271819999999997
2023-07-20 00:00:00+00:00,0.00017856,0.008450379999999997
2023-07-21 00:00:00+00:00,7.371e-05,0.008524089999999996
2023-07-22 00:00:00+00:00,3.316e-05,0.008557249999999997
2023-07-23 00:00:00+00:00,0.0002228,0.008780049999999998
2023-07-24 00:00:00+00:00,0.00024338000000000002,0.009023429999999997
2023-07-25 00:00:00+00:00,0.0002408,0.009264229999999997
2023-07-26 00:00:00+00:00,0.00025219,0.009516419999999996
2023-07-27 00:00:00+00:00,9.842e-05,0.009614839999999996
2023-07-28 00:00:00+00:00,0.00021048,0.009825319999999997
2023-07-29 00:00:00+00:00,0.00022097000000000002,0.010046289999999996
2023-07-30 00:00:00+00:00,0.00018068,0.010226969999999997
2023-07-31 00:00:00+00:00,0.0001797,0.010406669999999996
2023-08-01 00:00:00+00:00,0.00023068,0.010637349999999997
2023-08-02 00:00:00+00:00,0.00030000000000000003,0.010937349999999997
2023-08-03 00:00:00+00:00,0.00030000000000000003,0.011237349999999997
2023-08-04 00:00:00+00:00,0.00028116,0.011518509999999997
2023-08-05 00:00:00+00:00,0.00024181000000000002,0.011760319999999998
2023-08-06 00:00:00+00:00,0.00030000000000000003,0.012060319999999998
2023-08-07 00:00:00+00:00,0.00027669,0.012337009999999997
2023-08-08 00:00:00+00:00,0.0002508,0.012587809999999998
2023-08-09 00:00:00+00:00,0.00026514,0.012852949999999998
2023-08-10 00:00:00+00:00,0.00028277,0.013135719999999998
2023-08-11 00:00:00+00:00,0.00027123,0.013406949999999999
2023-08-12 00:00:00+00:00,0.00029305,0.013699999999999999
2023-08-13 00:00:00+00:00,0.00024637,0.013946369999999998
2023-08-14 00:00:00+00:00,0.00030000000000000003,0.014246369999999998
2023-08-15 00:00:00+00:00,0.00030000000000000003,0.014546369999999998
2023-08-16 00:00:00+00:00,0.00030000000000000003,0.014846369999999998
2023-08-17 00:00:00+00:00,0.00030000000000000003,0.015146369999999998
2023-08-18 00:00:00+00:00,0.0001512,0.015297569999999998
